SMILES,Odor,All_Matched_Categories,Major_Category
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O)O)O)O.C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCOC(=O)CNC(=O)[C@@H]1C[C@@H](CC[C@H]1C(C)C)C,cooling; sensation,Mint/Cool,Mint/Cool
C1[C@@H](OC2=CC(=CC(=C2C1=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC(=C(C=C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1OC[C@@H]2[C@@H](O1)[13C@@H]([C@H]([C@@H](O2)OC)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC1=C(C(=C2C(=C1)C(=O)C3=C(C=CC=C3O2)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)NC(=O)[C@H](CC(=O)O)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCCCCCCCCOC[C@@]1([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)(C[C@@H]([C@@H](C3(C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)OC)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O)O)O)C,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCCOC1=CC=C(C=C1)NC(=O)NO,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC1CCC(C(C1)OCC2COC(O2)C3=CC(=C(C=C3)O)OC)C(C)C,vanilla; minty,Mint/Cool|Sweet/Vanilla/Caramel,Mint/Cool
C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H]1C[C@H]([C@@H]([C@@H]([C@H]1O)O)O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)O)OC)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1[C@H](OC2=CC(=CC(=C2C1=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC(=C(C=C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)NC(=O)[C@H](CC(C)C)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC1CCC(C(C1)OC(=O)OCC(C)O)C(C)C.CC1CCC(C(C1)OC(=O)OC(C)CO)C(C)C,menthol,Mint/Cool,Mint/Cool
COC1=C(C=CC(=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)OC3=CC(=C4C(=C3)OC(=C(C4=O)O)C5=CC(=C(C=C5)OC)O)O)O)O)O[C@@H]6[C@H]([C@@H]([C@H]([C@@H](O6)CO)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@]12CCC[C@@](C1CC[C@]34C2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C(=O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@]12CC[C@](C([C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)[C@@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)(C)C(=O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H]1[C@@H]([C@@H]([C@H](C(O1)O[C@@H]2[C@H]([C@H](O[C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=CC(=C(C=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@H]1[C@@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC(=O)C[C@H](C(=O)N[C@H](CC1=CC=CC=C1)C(=O)OC)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCCCCCCCCCO[C@H]1[C@@H]([C@H](O[C@H]([C@@H]1O)O)CO)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC)O)OC)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC(=CCC/C(=C/CNC(=O)C1CC1)/C)C,savory; roasted; meaty,Roasted/Nutty/Toasty|Sweet/Vanilla/Caramel|Off-flavor,Roasted/Nutty/Toasty
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OCC(CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O.O=[Mg],sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)I,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@@H]([C@@H](C([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)[O-].[NH4+].[K+].[K+],sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H]([11C@H](O1)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1OC[C@@H]2[C@H](O1)[13C@@H]([C@H]([C@@H](O2)OC)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=C(N=C32)Cl)N)COP(=O)([O-])[O-])O.[Na+].[Na+],sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)[O-].[NH4+].[Na+].[Na+],sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCC[C@@H](C(=O)OC)NC(=O)[C@H](CC1=CC=CC=C1)N.Cl,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCC[C@@H](C(=O)OC)NC(=O)[C@H](CC1=CC=CC=C1)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCCCCCOC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O[13C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC2=C(C(=C3C(=C2)OC=C(C3=O)C4=CC=C(C=C4)O[C@@H]5[C@H]([C@@H]([C@H]([C@@H](O5)CO)O)O)O)O)OC)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CO[C@H]1[C@@H]([C@H]([C@@H](CO1)O[13C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O.C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC1=CC=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CC(=O)OC)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC(C)C[C@@H](C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)NC(=O)[C@H](C(C)C)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)I)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCCCCCCO[C@@H]1[C@H]([C@@H]([C@H](O1)CO)O)O[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)(C)C(=O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCCO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@H]([C@H]([C@@H](C(O1)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O)CO)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC1=CC2=C(C(=C1)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO[C@H]4[C@@H]([C@H]([C@@H](CO4)O)O)O)O)O)O)C(=O)C5=C(O2)C(=C(C=C5)O)OC,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)[O-].[NH4+].[NH4+].[Na+],sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)(C[C@@H]([C@@H](C3(C)C)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)C(=O)O)O)O)O)O)O)C,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@@H]([C@H](O2)O)O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@H]([C@H]([C@H](O1)O)O)O)O)OC[C@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)OP(=S)(O)O)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC2[C@H]([C@H](C([C@H]([C@@H]2O)O)O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)F)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC)NC(=O)[C@H](C)NC(=O)OC(C)(C)C,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O)OC)OC)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C(CCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)CCO,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC1=CC(=C(C=C1)CNC(=O)C(=O)NCCC2=CC=CC=N2)OC,savory; meaty; umami,Sweet/Vanilla/Caramel|Off-flavor,Sweet/Vanilla/Caramel
COC(=O)C[C@@H](C(=O)NCC1=CC=CC=C1)NC2(CCCCC2)C(=O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O.[OH-].[OH-].[OH-].[Al+3],sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC(C)[C@]12CC[C@@]([C@H]1C2)(C)O,balsamic; balsam,Woody/Resinous,Woody/Resinous
C1[C@@H]2[C@@H]([C@@H]([C@H]([C@H](O1)O2)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]([C@H]([C@@H](C(=O)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H]1C[C@@H]([C@H]([C@H](O1)OC)O)OC,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CO[C@@H]1[C@@H](C[C@@H]([C@H](O1)CO)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([13C@H]([C@@H]([C@@H]([C@H](C=O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCCO[C@@H]1C[C@@H]([C@@H]([C@@H](O1)C)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@@H]([C@H]1[C@H]([C@H]([C@H](O1)OC)OC)O)OC,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC(=O)OC[C@H](CO)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC(C)C[C@@H](C(=O)OC)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CNC(=O)CN,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NCCCOCCOCCOCCCN,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
[B-]P(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=C(N=C32)Cl)N)O)O)OP(=O)(O)OP(=O)(O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC(C)C[C@@H](C(=O)NC(C)(C)C(=O)N[C@@H](CC(C)C)C(=O)NC(C)(C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(CP(=O)(CP(=O)(O)OP(=O)(O)O)O)O)O)O)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)NC(=O)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@@H]2OC)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC(=O)C)OC(=O)C)OC(=O)C)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H](C(=O)NCC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)OC(C)(C)C)N,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)Cl)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC(=O)O[C@H]1[C@@H]([C@H](O[C@H]([C@@H]1OC(=O)C)OC(=O)C)C(O)OC)OC(=O)C,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O[C@H]3[C@@H]([C@H]([C@@H](O3)CO)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@H]([C@H]3O)O)O)CO)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@]5(CC[C@]4([C@@]3(CC2)C)C)C)(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O)C)(C)C(=O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@]12CC[C@](CC1C3=CC(=O)C4[C@]5(CCC(C(C5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@H]6[C@@H]([C@H]([C@H]([C@H](O6)CO)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)OC)O)O)O)C)(C)C(=O)OC,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)OC)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)OO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O[C@H]7[C@@H]([C@H]([C@@H](O7)CO)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3O[C@H]4CC[C@@]5([C@H]6CC=C7C8CC(CC[C@@]8(CC[C@]7([C@@]6(CCC5C4(C)C)C)C)C(=O)O)(C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@]12CC[C@@H](C(C1CC[C@@]3(C2CC=C4[C@]3(CC[C@@]5(C4CC(CC5)(C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)(C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O)O[C@H]9[C@@H]([C@H]([C@H]([C@H](O9)CO)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)COC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
C[C@H]1C[C@@H]([C@@]2(O1)CCCCO2)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCC[C@@H]([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
